"SAMPLE 2023-01-13_08-39-52 csv_sources\0_fertoing_source.csv search_mode='any' keywords=['болт', 'винт', 'гайка', 'шайба', 'шуруп'] exclude=[]"
Шайба оцинкованная М5 DIN 127A,"{'din': '127', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'5': 1}), 'K': {'шайба'}}"
Шайба оцинкованные 6х12 мм DIN 125А (25шт)_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '12': 1, '25': 1}), 'K': {'шайба'}}"
"Шайба ПА6 черная, 047.02.01.00.04","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'6': 1, ',': 1, '047.02.01.00.04': 1}), 'K': {'шайба'}}"
"Шайба ПА6 черная, 047.02.01.00.04-01","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'6': 1, ',': 1, '047.02.01.00.04': 1, '01': 1}), 'K': {'шайба'}}"
"Шайба пальца амортизатора УАЗ, d12.5_НЕ_ИСПОЛЬЗУЕТСЯ","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({',': 1, '12.5': 1}), 'K': {'амортизатор', 'уаз', 'палец', 'шайба'}}"
"Шайба пальца амортизатора УАЗ, d17,5_НЕ_ИСПОЛЬЗУЕТСЯ","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({',': 1, '17,5': 1}), 'K': {'амортизатор', 'уаз', 'палец', 'шайба'}}"
"Шайба плоская 002-0405/8, SS","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'002': 1, '0405': 1, '8,': 1, 'ss': 1}), 'K': {'шайба'}}"
"""Шайба плоская 3/4"""" DIN 125 ART 83125""","{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'3': 1, '4': 1, 'art': 1, '83125': 1}), 'K': {'шайба'}}"
Шайба плоская 6 мм 90504-921-010,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'6': 1, '90504': 1, '921': 1, '010': 1}), 'K': {'шайба'}}"
"Шайба плоская 8,SS_НЕ_ИСПОЛЬЗУЕТСЯ","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'8,': 1, 'ss': 1}), 'K': {'шайба'}}"
Шайба плоская D6 400шт_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'6': 1, '400': 1}), 'K': {'шайба'}}"
Шайба плоская DIN 125 A/ISO 7089,"{'din': '125', 'gost': None, 'iso': '7089', 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter(), 'K': {'шайба'}}"
Шайба плоская DIN 125 М16 цинк_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'16': 1}), 'K': {'шайба'}}"
Шайба плоская DIN 125 М24 полиамид_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'PA', 'fastener_class': None, 'T': Counter({'24': 1}), 'K': {'шайба'}}"
Шайба плоская WASHER 12-161402 F25-30,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'washer': 1, '12': 1, '161402': 1, '25': 1, '30': 1}), 'K': {'шайба'}}"
Шайба плоская ГОСТ 11371-78 м 42 ч/м_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': '11371-78', 'iso': None, 'sku': None, 'fastener_plating': 'ST', 'fastener_class': None, 'T': Counter({'42': 1}), 'K': {'шайба'}}"
"Шайба плоская М 14 (d 15,0) А4 - Нерж. DIN 125 А_НЕ_ИСПОЛЬЗУЕТСЯ","{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'14': 1, '15,0': 1}), 'K': {'шайба'}}"
Шайба плоская М 16 оцинкованная DIN 125,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'16': 1}), 'K': {'шайба'}}"
"Шайба плоская М 2 (d 2,2) А2-Нерж. DIN 125A","{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'2': 1, '2,2': 1}), 'K': {'шайба'}}"
"Шайба плоская М 2,3 (d 2,5) А2-Нерж. DIN 125A","{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'2,3': 1, '2,5': 1}), 'K': {'шайба'}}"
"Шайба плоская М 2,5 (d 2,7) А2-Нерж. DIN 125A","{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'2,5': 1, '2,7': 1}), 'K': {'шайба'}}"
"Шайба плоская М 2,6 (d 2,8) А2-Нерж. DIN 125A","{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'2,6': 1, '2,8': 1}), 'K': {'шайба'}}"
Шайба плоская М 20 цинк DIN 125 A_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'20': 1}), 'K': {'шайба'}}"
Шайба плоская М 24 цинк DIN 125 A_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'24': 1}), 'K': {'шайба'}}"
"Шайба плоская М 3 (d 3,2) А2-Нерж. DIN 125A","{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'3': 1, '3,2': 1}), 'K': {'шайба'}}"
"Шайба плоская М 3,5 (d 3,7) А2-Нерж. DIN 125A","{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': '3.5', 'T': Counter({'3,7': 1}), 'K': {'шайба'}}"
"Шайба плоская М 4 (d 4,3) А2-Нерж. DIN 125A","{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'4': 1, '4,3': 1}), 'K': {'шайба'}}"
"Шайба плоская М 5 (d 5,3) А2-Нерж. DIN 125A","{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'5': 1, '5,3': 1}), 'K': {'шайба'}}"
"Шайба плоская М10 (d 10,5) цинк DIN 125 A / ГОСТ 11371-78","{'din': '125', 'gost': '11371-78', 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '10,5': 1}), 'K': {'шайба'}}"
Шайба плоская М10 DIN 125 A,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1}), 'K': {'шайба'}}"
Шайба плоская М10 DIN 125 A уп.100 шт.,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '.100': 1, '.': 1}), 'K': {'шайба'}}"
Шайба плоская М10 DIN 125 A уп.12 шт.,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '.12': 1, '.': 1}), 'K': {'шайба'}}"
Шайба плоская М10 LL 9248 нержавеющая А2 NFE25-514,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'10': 1, 'll': 1, '9248': 1, 'nfe': 1, '25': 1, '514': 1}), 'K': {'шайба'}}"
Шайба плоская М10 Zn DIN 125,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1}), 'K': {'шайба'}}"
Шайба плоская М10 Zn DIN 9021 / ГОСТ 6958-78,"{'din': '9021', 'gost': '6958-78', 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1}), 'K': {'шайба'}}"
Шайба плоская М10 А2 DIN 125 / ISO 7089 / ГОСТ 11371-78,"{'din': '125', 'gost': '11371-78', 'iso': '7089', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'10': 1}), 'K': {'шайба'}}"
Шайба плоская М10 А4 DIN 125 А / ГОСТ 11371-78,"{'din': '125', 'gost': '11371-78', 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'10': 1}), 'K': {'шайба'}}"
Шайба плоская М10 А4 нерж DIN 9021 ГОСТ 6958-78,"{'din': '9021', 'gost': '6958-78', 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'10': 1}), 'K': {'шайба'}}"
Шайба плоская М10 полиамидная DIN 125 A,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'PA', 'fastener_class': None, 'T': Counter({'10': 1}), 'K': {'шайба'}}"
Шайба плоская М12 DIN 125 A,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1}), 'K': {'шайба'}}"
Шайба плоская М12 LL 9248 нержавеющая А2 NFE25-514,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'12': 1, 'll': 1, '9248': 1, 'nfe': 1, '25': 1, '514': 1}), 'K': {'шайба'}}"
Шайба плоская М12 Zn DIN 125 A / ГОСТ 11371-78,"{'din': '125', 'gost': '11371-78', 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1}), 'K': {'шайба'}}"
Шайба плоская М12 А2 DIN 125 / ISO 7089,"{'din': '125', 'gost': None, 'iso': '7089', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'12': 1}), 'K': {'шайба'}}"
Шайба плоская М12 А2 нержавеющая DIN 125,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'12': 1}), 'K': {'шайба'}}"
Шайба плоская М12 А2 нержавеющая DIN 125 A,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'12': 1}), 'K': {'шайба'}}"
Шайба плоская М12 А4 DIN 125 A / ГОСТ 11371-78,"{'din': '125', 'gost': '11371-78', 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'12': 1}), 'K': {'шайба'}}"
Шайба плоская М12 оцинкованная DIN 125_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1}), 'K': {'шайба'}}"
Шайба плоская М12 оцинкованная DIN 9021,"{'din': '9021', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1}), 'K': {'шайба'}}"
Шайба плоская М12 полиамидная DIN 125 A,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'PA', 'fastener_class': None, 'T': Counter({'12': 1}), 'K': {'шайба'}}"
Шайба плоская М14 DIN 125 A,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'14': 1}), 'K': {'шайба'}}"
Шайба плоская М14 Zn DIN 125 A / ГОСТ 11371-78,"{'din': '125', 'gost': '11371-78', 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'14': 1}), 'K': {'шайба'}}"
Шайба плоская М14 А2 нерж DIN 125A / ГОСТ 11371-78,"{'din': '125', 'gost': '11371-78', 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'14': 1}), 'K': {'шайба'}}"
Шайба плоская М16 (d 17) Цинк DIN 125 / ISO 7089,"{'din': '125', 'gost': None, 'iso': '7089', 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'16': 1, '17': 1}), 'K': {'шайба'}}"
Шайба плоская М16 (d 17) Цинк DIN 125 A_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'16': 1, '17': 1}), 'K': {'шайба'}}"
Шайба плоская М16 DIN 125,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'16': 1}), 'K': {'шайба'}}"
Шайба плоская М16 DIN 125 6 шт,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'16': 1, '6': 1}), 'K': {'шайба'}}"
Шайба плоская М16 Zn DIN 125 A / ГОСТ 11371-78,"{'din': '125', 'gost': '11371-78', 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'16': 1}), 'K': {'шайба'}}"
Шайба плоская М16 А2 нержавеющая DIN 125 A,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'16': 1}), 'K': {'шайба'}}"
Шайба плоская М16 полиамидная DIN 125 A,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'PA', 'fastener_class': None, 'T': Counter({'16': 1}), 'K': {'шайба'}}"
Шайба плоская М18 (d 19) Цинк (CN) DIN 125 A_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'18': 1, '19': 1, 'cn': 1}), 'K': {'шайба'}}"
Шайба плоская М18 (d 19) Цинк DIN 125 / ISO 7089_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '125', 'gost': None, 'iso': '7089', 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'18': 1, '19': 1}), 'K': {'шайба'}}"
Шайба плоская М18 DIN 125 A,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'18': 1}), 'K': {'шайба'}}"
Шайба плоская М20 (d 21) Цинк DIN 125 A_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'20': 1, '21': 1}), 'K': {'шайба'}}"
Шайба плоская М20 DIN 125 A,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'20': 1}), 'K': {'шайба'}}"
Шайба плоская М20 Zn DIN 125 / ГОСТ 11371-78,"{'din': '125', 'gost': '11371-78', 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'20': 1}), 'K': {'шайба'}}"
Шайба плоская М20 А2 нержавеющая DIN 125,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'20': 1}), 'K': {'шайба'}}"
Шайба плоская М20 А4 нержавеющая DIN 125 A,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'20': 1}), 'K': {'шайба'}}"
Шайба плоская М22 оцинкованная DIN 125 A ГОСТ 11371-78,"{'din': '125', 'gost': '11371-78', 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'22': 1}), 'K': {'шайба'}}"
Шайба плоская М24 DIN 125 A,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'24': 1}), 'K': {'шайба'}}"
Шайба плоская М24 Zn DIN 125 / ГОСТ 11371-78,"{'din': '125', 'gost': '11371-78', 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'24': 1}), 'K': {'шайба'}}"
Шайба плоская М24 А2 нержавеющая DIN 125 A,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'24': 1}), 'K': {'шайба'}}"
Шайба плоская М24 оцинкованная сталь DIN 126/ISO 7091,"{'din': '126', 'gost': None, 'iso': '7091', 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'24': 1}), 'K': {'шайба'}}"
"Шайба плоская М3 (d 3,2) А2 нержавеющая DIN 125 A / ISO 7089_НЕ_ИСПОЛЬЗУЕТСЯ","{'din': '125', 'gost': None, 'iso': '7089', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'3': 1, '3,2': 1}), 'K': {'шайба'}}"
"Шайба плоская М3 (d 3,2) оцинкованная DIN 125 A / ISO 7089","{'din': '125', 'gost': None, 'iso': '7089', 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'3': 1, '3,2': 1}), 'K': {'шайба'}}"
Шайба плоская М3 DIN 125 A,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'3': 1}), 'K': {'шайба'}}"
Шайба плоская М3 А4 DIN 125 / ГОСТ 11371-78,"{'din': '125', 'gost': '11371-78', 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'3': 1}), 'K': {'шайба'}}"
Шайба плоская М3 А4 DIN 125A ГОСТ 11371-78,"{'din': '125', 'gost': '11371-78', 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'3': 1}), 'K': {'шайба'}}"
Шайба плоская М30 DIN 125 A,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'30': 1}), 'K': {'шайба'}}"
Шайба плоская М30 А2 нержавеющая DIN 125 A,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'30': 1}), 'K': {'шайба'}}"
"Шайба плоская М4 (d 4,3) А2 нержавеющая DIN 125 A / ISO 7089_НЕ_ИСПОЛЬЗУЕТСЯ","{'din': '125', 'gost': None, 'iso': '7089', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'4': 1, '4,3': 1}), 'K': {'шайба'}}"
Шайба плоская М4 DIN 125 A,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1}), 'K': {'шайба'}}"
Шайба плоская М4 Zn DIN 125 A / ГОСТ 11371-78,"{'din': '125', 'gost': '11371-78', 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1}), 'K': {'шайба'}}"
Шайба плоская М4 А2 нержавеющая DIN 125 A,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'4': 1}), 'K': {'шайба'}}"
Шайба плоская М4 А4 DIN 125 / ГОСТ 11371-78,"{'din': '125', 'gost': '11371-78', 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'4': 1}), 'K': {'шайба'}}"
Шайба плоская М4 нержавеющая сталь А2 DIN 125 ISO 7089,"{'din': '125', 'gost': None, 'iso': '7089', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'4': 1}), 'K': {'шайба'}}"
Шайба плоская М4 тип А DIN 125,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1}), 'K': {'шайба'}}"
"Шайба плоская М5 (d 5,3) А2 нерж DIN 125 A ISO 7089 ГОСТ 11371-78","{'din': '125', 'gost': '11371-78', 'iso': '7089', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'5': 1, '5,3': 1}), 'K': {'шайба'}}"
"Шайба плоская М5 (d 5,3) оцинкованная DIN 125 A / ISO 7089","{'din': '125', 'gost': None, 'iso': '7089', 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'5': 1, '5,3': 1}), 'K': {'шайба'}}"
Шайба плоская М5 DIN 125 A,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'5': 1}), 'K': {'шайба'}}"
Шайба плоская М5 А4 DIN 125 A / ISO 7089 (EUR) / ГОСТ 11371-78,"{'din': '125', 'gost': '11371-78', 'iso': '7089', 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'5': 1, 'eur': 1}), 'K': {'шайба'}}"
Шайба плоская М5 нержавеющая сталь А2 DIN 125 ISO 7089,"{'din': '125', 'gost': None, 'iso': '7089', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'5': 1}), 'K': {'шайба'}}"
Шайба плоская М5 полиамидная DIN 125 A,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'PA', 'fastener_class': None, 'T': Counter({'5': 1}), 'K': {'шайба'}}"
Шайба плоская М5 тип А DIN 125,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'5': 1}), 'K': {'шайба'}}"
"Шайба плоская М6 (6,4) Полиамид DIN 125 / ISO 7089 / ГОСТ 11371-78","{'din': '125', 'gost': '11371-78', 'iso': '7089', 'sku': None, 'fastener_plating': 'PA', 'fastener_class': None, 'T': Counter({'6': 1, '6,4': 1}), 'K': {'шайба'}}"
"Шайба плоская М6 (d 6,4) Zn DIN 125 A / ISO 7089 / ГОСТ 11371-78","{'din': '125', 'gost': '11371-78', 'iso': '7089', 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '6,4': 1}), 'K': {'шайба'}}"
"Шайба плоская М6 (d 6,4) А2 нержавеющая DIN 125 A","{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1, '6,4': 1}), 'K': {'шайба'}}"
Шайба плоская М6 LL 9248 нержавеющая А2 NFE25-514,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1, 'll': 1, '9248': 1, 'nfe': 1, '25': 1, '514': 1}), 'K': {'шайба'}}"
Шайба плоская М6 А2 DIN 125 / ISO 7089 / ГОСТ 11371-78,"{'din': '125', 'gost': '11371-78', 'iso': '7089', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1}), 'K': {'шайба'}}"
Шайба плоская М6 А4 DIN 125 / ISO 7089 / ГОСТ 11371-78,"{'din': '125', 'gost': '11371-78', 'iso': '7089', 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'6': 1}), 'K': {'шайба'}}"
Шайба плоская М6 А4-80 DIN 125 / ISO 7089 / ГОСТ 11371-78,"{'din': '125', 'gost': '11371-78', 'iso': '7089', 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'6': 1}), 'K': {'шайба'}}"
Шайба плоская М6 нерж А4 DIN 125A,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'6': 1}), 'K': {'шайба'}}"
Шайба плоская М6 нержавеющая сталь А2 DIN 125 ISO 7089_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '125', 'gost': None, 'iso': '7089', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1}), 'K': {'шайба'}}"
Шайба плоская М6 оцинкованная DIN 125,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1}), 'K': {'шайба'}}"
Шайба плоская М6 полиамидная DIN 125 A,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'PA', 'fastener_class': None, 'T': Counter({'6': 1}), 'K': {'шайба'}}"
"Шайба плоская М8 (d 8,4) Zn DIN125 A / ISO7089 / ГОСТ 11371-78","{'din': '125', 'gost': '11371-78', 'iso': '7089', 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '8,4': 1}), 'K': {'шайба'}}"
Шайба плоская М8 DIN 125,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1}), 'K': {'шайба'}}"
Шайба плоская М8 LL 9248 нержавеющая А2 NFE25-514,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, 'll': 1, '9248': 1, 'nfe': 1, '25': 1, '514': 1}), 'K': {'шайба'}}"
Шайба плоская М8 Zn DIN 125 A,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1}), 'K': {'шайба'}}"
Шайба плоская М8 Zn DIN 125 ГОСТ 11371-78,"{'din': '125', 'gost': '11371-78', 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1}), 'K': {'шайба'}}"
Шайба плоская М8 А2 нерж DIN 125 / ISO 7089 / ГОСТ 11371-78,"{'din': '125', 'gost': '11371-78', 'iso': '7089', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1}), 'K': {'шайба'}}"
Шайба плоская М8 А4 DIN 125 A / ГОСТ 11371-78,"{'din': '125', 'gost': '11371-78', 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'8': 1}), 'K': {'шайба'}}"
Шайба плоская М8 латунная DIN 125_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'BR', 'fastener_class': None, 'T': Counter({'8': 1}), 'K': {'шайба'}}"
Шайба плоская М8 полиамидная DIN 125 A,"{'din': '125', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'PA', 'fastener_class': None, 'T': Counter({'8': 1}), 'K': {'шайба'}}"
Шайба плоская увеличенная M12 А2 DIN 440 R / ISO 7094,"{'din': '440', 'gost': None, 'iso': '7094', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'12': 1}), 'K': {'шайба'}}"
